CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,IND,"Annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income,_total_population_(%)",SI.SPR.PCAP.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Survey_mean_consumption_or_income_per_capita,_total_population_(2011_PPP_$_per_day)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income,_bottom_40%_of_population_(%)",SI.SPR.PC40.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Survey_mean_consumption_or_income_per_capita,_bottom_40%_of_population_(2011_PPP_$_per_day)",SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Average_transaction_cost_of_sending_remittances_from_a_specific_country_(%),SI.RMT.COST.OB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.252663494,3.031802364,
India,IND,Average_transaction_cost_of_sending_remittances_to_a_specific_country_(%),SI.RMT.COST.IB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.962185361,7.833534276,8.57,7.003416776,6.504849903,6.230435052,5.975060606,
India,IND,Urban_poverty_headcount_ratio_at_national_poverty_lines_(%_of_urban_population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,,,,,,,,25.7,,,,,20.9,,13.7,,,,,,,
India,IND,Urban_poverty_gap_at_national_poverty_lines_(%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,4.5,,2.5,,,,,,,
India,IND,Poverty_gap_at_$5.50_a_day_(2011_PPP)_(%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,65,,,,,,62,,,,59.2,,,,,,57.7,,,,,,,,,,,53.3,,,,,49.6,,43.5,,,,,,,
India,IND,Poverty_headcount_ratio_at_$5.50_a_day_(2011_PPP)_(%_of_population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,97,,,,,,96.4,,,,95.5,,,,,,95.3,,,,,,,,,,,92.5,,,,,90.6,,86.8,,,,,,,
India,IND,Rural_poverty_headcount_ratio_at_national_poverty_lines_(%_of_rural_population),SI.POV.RUHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,41.8,,,,,33.8,,25.7,,,,,,,
India,IND,Rural_poverty_gap_at_national_poverty_lines_(%),SI.POV.RUGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,6.8,,4.6,,,,,,,
India,IND,Poverty_headcount_ratio_at_national_poverty_lines_(%_of_population),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,,37.2,,,,,29.8,,21.9,,,,,,,
India,IND,Poverty_gap_at_national_poverty_lines_(%),SI.POV.NAGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,6.2,,4,,,,,,,
India,IND,Poverty_gap_at_$3.20_a_day_(2011_PPP)_(%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,44.2,,,,,,40,,,,36.3,,,,,,34.3,,,,,,,,,,,29.7,,,,,25.8,,19.7,,,,,,,
India,IND,Poverty_headcount_ratio_at_$3.20_a_day_(2011_PPP)_(%_of_population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,88.1,,,,,,85.5,,,,82.8,,,,,,81.1,,,,,,,,,,,75.2,,,,,69.9,,60.4,,,,,,,
India,IND,GINI_index_(World_Bank_estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,32.5,,,,,,31.7,,,,,,,,,,,34.4,,,,,35.4,,35.7,,,,,,,
India,IND,Poverty_gap_at_$1.90_a_day_(2011_PPP)_(%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,21,,,,,,17.1,,,,13.8,,,,,,12,,,,,,,,,,,9.2,,,,,7,,4.3,,,,,,,
India,IND,Poverty_headcount_ratio_at_$1.90_a_day_(2011_PPP)_(%_of_population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,61.6,,,,,,54.8,,,,48.9,,,,,,45.9,,,,,,,,,,,38.2,,,,,31.1,,21.2,,,,,,,
India,IND,Income_share_held_by_lowest_20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,8.7,,,,,,8.9,,,,,,,,,,,8.5,,,,,8.3,,8.1,,,,,,,
India,IND,Income_share_held_by_lowest_10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,3.8,,,,,,3.8,,,,,,,,,,,3.7,,,,,3.5,,3.5,,,,,,,
India,IND,Income_share_held_by_highest_10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,26.4,,,,27.4,,,,,,26.7,,,,,,,,,,,29.1,,,,,30,,30.1,,,,,,,
India,IND,Income_share_held_by_highest_20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,41,,,,41.6,,,,,,41.1,,,,,,,,,,,43.5,,,,,44.2,,44.4,,,,,,,
India,IND,Income_share_held_by_fourth_20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,21.2,,,,,,21.2,,,,,,,,,,,20.6,,,,,20.5,,20.5,,,,,,,
