City_Name,Zone_Name,Ward_Name,Ward_No,Residential_Collection_in_Cr,Residential_Demand_in_Cr,Commercial_Collection_in_Cr,Commercial_Demand_in_Cr,Industrial_Collection_in_Cr,Industrial_Demand_in_Cr
Surat,West,Rander,16,6.900518,7.561093,6.647691,8.103161,0.715712,0.726487
Surat,West,Adajan,17,12.154134,13.352509,22.094573,25.455731,0.66734,0.709547
Surat,West,Jahangirabad,38,2.805616,2.992452,1.391876,1.957318,0.238685,0.233552
Surat,West,Jahangirpura,39,1.11626,1.105558,0.763731,1.484214,0.125806,0.124049
Surat,West,Government Properties,51,0.152229,0.398253,0.025692,0.048772,0,0.00209
Surat,West,Pal,92,4.188555,4.151535,4.86426,5.386484,0.196128,0.193432
Surat,West,Palanpur,93,2.574928,2.656916,2.540861,2.935853,0.154313,0.15806
Surat,West,Variav,94,0.602666,0.837821,0.629647,0.734399,0.055309,0.084854
Surat,Central,Nanpura,1,2.819343,7.565136,6.425631,9.596333,0.523197,1.172456
Surat,Central,Rustampura,2,3.531468,10.910436,7.752371,10.322693,1.465675,2.30878
Surat,Central,Salabatpura,3,2.216785,6.262974,9.566126,12.509346,3.44262,4.520925
Surat,Central,Begampura,4,2.505825,5.333113,19.956864,23.867244,3.992743,6.243893
Surat,Central,Haripura,5,0.881878,1.361174,2.381839,2.996531,0.534616,0.856025
Surat,Central,Mahidharpura,6,1.122746,1.819025,3.765254,5.404836,1.008401,1.360007
Surat,Central,Saiyedpura,7,2.865596,7.197819,6.705275,9.732355,2.387177,3.827054
Surat,Central,Gopipura,8,1.026195,1.545079,0.790246,1.182456,0.515797,0.624345
Surat,Central,Wadi Falia,9,0.566964,0.73767,1.940113,2.823632,0.66103,0.784268
Surat,Central,Soni falia,10,0.901269,1.64767,2.28438,3.607379,0.551737,0.751193
Surat,Central,MUgalisara,11,1.256468,3.669669,1.83509,3.186835,0.432918,0.729974
Surat,Central,Sahpore,12,1.442693,3.991763,1.758424,3.01088,0.632403,1.21418
Surat,Central,Government Properties,52,0.017793,0.129109,0.114192,0.272044,0,0.003053
Surat,North,Gotalawadi,15,3.754076,7.331218,9.588832,11.614847,23.6496,23.677607
Surat,North,Katar gam,19,21.379709,25.869062,13.953259,17.521331,15.576616,16.713795
Surat,North,Government Properties,53,0.003135,0.025911,0.018215,0.135007,0,0.000553
Surat,North,Amroli,61,0.869871,1.005082,1.41552,1.639417,0.154159,0.163328
Surat,North,Chhapra Bhatha,62,2.105391,2.30131,1.548137,2.218607,0.182541,0.186584
Surat,North,Kosad,63,4.745672,6.96657,2.059808,2.468547,1.970185,1.873869
Surat,North,Utran,95,1.434765,1.556918,1.177365,1.438077,0.153602,0.152548
Surat,East,Varachha,18,12.263217,15.752116,21.480852,26.037133,28.618506,28.297339
Surat,East,Nana Varachha,20,4.340892,5.342585,5.442844,6.085435,0.843867,0.888605
Surat,East,Karanj,21,7.163711,7.918555,6.658833,8.341728,7.278148,7.996097
Surat,East,Umarwada,22,0.2677,0.706087,2.934456,3.083306,0.779832,0.890044
Surat,East,Magob,24,2.603851,2.890446,5.749622,6.079406,2.753068,2.685938
